Paper..,Original.sample.size,Original.p.value,Replication.p.value,Original.test.statistic.type,Original.df1,Original.df2,replicated,p,N,q,ejab,f,U_diagnostic,type1_candidate
19,19,1.094824e-4,0.2655945,t,NA,17,0,1.094824e-4,19,1,0.003636246020595867,0.0011936354730500698,-0.02221335441715642,FALSE
20,34,0.6415434,0.9782731,chi-squared,NA,2,0,0.6415434,34,2,4.036695226709041,0.0017388763571112298,13.257141055752507,FALSE
20,18,0.001023486,0.327788,z,NA,NA,0,0.001023486,18,1,0.02605522554704983,0.001209725733475553,-0.0038171487304660212,FALSE
20,21,0.1460453,0.0623144,z,NA,NA,0,0.1460453,21,1,1.6753692179250192,0.001161884767670207,2.9666053766223155,FALSE
20,27,0.03519667,0.2227251,z,NA,NA,0,0.03519667,27,1,0.6140094588584247,0.0010742314059859481,0.6974328574613102,TRUE
20,13,0.001554002,0.9432789,z,NA,NA,0,0.001554002,13,1,0.03546805678720514,0.001284006938416793,0.00554222637403489,TRUE
20,18,0.01165501,0.09386169,z,NA,NA,0,0.01165501,18,1,0.21026659444257803,0.001209725733475553,0.21408537712793865,TRUE
20,25,2.038955e-4,0.02466544,rho,NA,NA,1,2.038955e-4,25,1,0.006657008274020906,0.0011019704054108237,-0.01836628004966074,FALSE
21,12,0.04073944,0.02357807,t,NA,10,1,0.04073944,12,1,0.5083902147473868,0.0012943663462291477,0.8098667586211963,TRUE
21,12,3.985327e-4,0.04057874,t,NA,10,1,3.985327e-4,12,1,0.01105783647648391,0.0012943663462291477,-0.018392813706054535,FALSE
21,12,0.31699,0.4863648,t,NA,10,0,0.31699,12,1,2.1891481450890535,0.0012943663462291477,6.481706734336456,FALSE
24,8,0.002190081,0.8655577,t,NA,6,0,0.002190081,8,1,0.04663811430979783,0.0012738515147696639,0.01880365088794284,TRUE
24,8,0.2351748,0.4031949,t,NA,6,0,0.2351748,8,1,1.5267750969370106,0.0012738515147696639,4.800316785886111,FALSE
24,8,7.419815e-4,0.8291362,t,NA,3.576481,0,7.419815e-4,8,1,0.019458373220019403,0.0012738515147696639,-0.010915494684150585,FALSE
24,8,0.004015118,0.6850368,t,NA,3.925518,0,0.004015118,8,1,0.07566409523332113,0.0012738515147696639,0.056258632591518226,TRUE
24,8,3.724277e-4,0.02857143,t,NA,3.085825,1,3.724277e-4,8,1,0.011092154752110985,0.0012738515147696639,-0.018499796162688695,FALSE
24,8,0.008718023,0.007735024,t,NA,6,1,0.008718023,8,1,0.13943626425598396,0.0012738515147696639,0.15277570086391667,TRUE
