Paper..,Original.sample.size,Original.p.value,Replication.p.value,Original.test.statistic.type,Original.df1,Original.df2,replicated,p,N,q,ejab,f,U_diagnostic,type1_candidate
28,12,0.0294672,0.7121999,t,NA,5.786097,0,0.0294672,12,1,0.39451554069272204,5.726442085649541e-4,0.584586315184637,TRUE
28,6,0.3586755,0.3808965,t,NA,4,0,0.3586755,6,1,1.7243108798967024,4.7346539416925904e-4,7.232527723909431,FALSE
28,3,0.06328464,0.6321716,t,NA,2,0,0.06328464,3,1,0.5485879731445491,1.6159937442783434e-4,1.2665543001631483,FALSE
28,3,0.06715723,0.7819519,t,NA,2,0,0.06715723,3,1,0.5667988485906664,1.6159937442783434e-4,1.3442572350766127,FALSE
29,3,4.927322e-4,0.003121253,t,NA,2,1,4.927322e-4,3,1,0.030247224803772243,1.6159937442783434e-4,0.006644130257307272,TRUE
29,3,0.1531738,0.07185459,t,NA,2,0,0.1531738,3,1,0.8773822638106347,1.6159937442783434e-4,3.0701667530450676,FALSE
29,6,2.91e-5,6.66e-5,t,NA,4,1,2.91e-5,6,1,0.0016855362506794118,4.7346539416925904e-4,-0.008972269061541489,FALSE
29,10,0.01734749,0.535919,chi-squared,NA,1,0,0.01734749,10,1,0.24756053698215044,5.674095120007383e-4,0.339453796014857,TRUE
37,13,0.0050129,0.3441826,z,NA,NA,0,0.0050129,13,1,0.09517493479994961,5.713137563808646e-4,0.08985847250173495,TRUE
37,13,0.0050129,0.2636006,z,NA,NA,0,0.0050129,13,1,0.09517493479994961,5.713137563808646e-4,0.08985847250173495,TRUE
39,10,0.00469753,0.103811,t,NA,4.015065,0,0.00469753,10,1,0.08670300361874447,5.674095120007383e-4,0.08355055737979036,TRUE
41,20,0.5402393,0.0230397,chi-squared,NA,1,1,0.5402393,20,1,3.742281056982003,5.364966116759851e-4,10.911131772273983,FALSE
42,14,0.001052166,0.6456962,t,NA,12,0,0.001052166,14,1,0.02563351184046854,5.683799644747856e-4,0.009786975121946843,TRUE
42,14,0.002276347,0.5567099,t,NA,7.376149,0,0.002276347,14,1,0.04958899449042058,5.683799644747856e-4,0.03455211531197527,TRUE
42,10,0.007936508,0.9372294,z,NA,NA,0,0.007936508,10,1,0.13262987388554517,5.674095120007383e-4,0.1490736863120345,TRUE
42,10,0.007936508,1,z,NA,NA,0,0.007936508,10,1,0.13262987388554517,5.674095120007383e-4,0.1490736863120345,TRUE
44,20,0.03981128,0.8474241,z,NA,NA,0,0.03981128,20,1,0.6008314549349335,5.364966116759851e-4,0.7940153991921834,TRUE
44,20,0.01042671,0.9437466,z,NA,NA,0,0.01042671,20,1,0.1982213222761627,5.364966116759851e-4,0.19994971465483832,TRUE
44,20,0.0167846,0.6519858,z,NA,NA,0,0.0167846,20,1,0.2956603707433266,5.364966116759851e-4,0.3284867078816625,TRUE
44,20,0.005007683,0.5287432,z,NA,NA,0,0.005007683,20,1,0.10608143122747313,5.364966116759851e-4,0.0903936454565701,TRUE
47,12,0.01467993,0.9470389,F,3,8,0,0.01467993,12,3,0.17946622839113482,2.36129059396184e-4,0.2902467325711733,TRUE
47,12,0.0124397,0.6763842,F,3,8,0,0.0124397,12,3,0.16217194270744362,2.36129059396184e-4,0.24522953520174331,TRUE
47,12,0.6172321,0.8617649,F,3,8,0,0.6172321,12,3,2.092864622444244,2.36129059396184e-4,12.398472210432056,FALSE
47,12,0.09492094,0.6715423,F,3,8,0,0.09492094,12,3,0.5761138178321097,2.36129059396184e-4,1.9026817880308355,FALSE
47,6,0.01263466,0.8146451,t,NA,8,0,0.01263466,6,1,0.18348854044314655,4.7346539416925904e-4,0.24554907187871383,TRUE
47,6,0.002873608,0.2034023,t,NA,8,0,0.002873608,6,1,0.06040804492999937,4.7346539416925904e-4,0.04846175136081847,TRUE
47,12,0.005528176,0.2747297,t,NA,10,0,0.005528176,12,1,0.10169257633078696,5.726442085649541e-4,0.10025888927470723,TRUE
47,12,0.001119253,0.139789,t,NA,10,0,0.001119253,12,1,0.026658805760635246,5.726442085649541e-4,0.011058831343143874,TRUE
47,12,0.006798659,0.191312,t,NA,10,0,0.006798659,12,1,0.12063032153596646,5.726442085649541e-4,0.12596293473004097,TRUE
47,12,0.01782211,0.476283,t,NA,10,0,0.01782211,12,1,0.2643650743244622,5.726442085649541e-4,0.3489862145209899,TRUE
47,12,0.009242931,0.4598103,t,NA,10,0,0.009242931,12,1,0.15522485946310474,5.726442085649541e-4,0.175414740533975,TRUE
48,6,0.002146524,0.3467888,t,NA,6,0,0.002146524,6,1,0.04836175594916859,4.7346539416925904e-4,0.03378105533016179,TRUE
48,6,0.002146524,0.002382405,t,NA,6,1,0.002146524,6,1,0.04836175594916859,4.7346539416925904e-4,0.03378105533016179,TRUE
48,755,1.0499999999999996e-130,1.3599999999999997e-55,z,NA,NA,1,2.220446049250313e-16,755,1,6.658816042231887e-14,1.0547876398470102e-4,-0.002114034995656825,FALSE
48,755,1.0499999999999996e-130,2.83e-34,z,NA,NA,1,2.220446049250313e-16,755,1,6.658816042231887e-14,1.0547876398470102e-4,-0.002114034995656825,FALSE
48,755,3.329999999999999e-184,3.6699999999999995e-24,z,NA,NA,1,2.220446049250313e-16,755,1,6.658816042231887e-14,1.0547876398470102e-4,-0.002114034995656825,FALSE
48,755,3.329999999999999e-184,3.77e-40,z,NA,NA,1,2.220446049250313e-16,755,1,6.658816042231887e-14,1.0547876398470102e-4,-0.002114034995656825,FALSE
48,755,6.089999999999999e-110,1.92e-6,z,NA,NA,1,2.220446049250313e-16,755,1,6.658816042231887e-14,1.0547876398470102e-4,-0.002114034995656825,FALSE
48,755,6.089999999999999e-110,9.91e-25,z,NA,NA,1,2.220446049250313e-16,755,1,6.658816042231887e-14,1.0547876398470102e-4,-0.002114034995656825,FALSE
48,514,0.04570119,7.109999999999999e-40,z,NA,NA,1,0.04570119,514,1,3.0916604406528156,1.2874086872127766e-4,0.9138018555199495,TRUE
48,514,0.04570119,9.29e-13,z,NA,NA,1,0.04570119,514,1,3.0916604406528156,1.2874086872127766e-4,0.9138018555199495,TRUE
48,514,0.0014397050000000001,2.22e-17,z,NA,NA,1,0.0014397050000000001,514,1,0.14282633654327884,1.2874086872127766e-4,0.026286966764320165,TRUE
48,514,0.0014397050000000001,1.03e-16,z,NA,NA,1,0.0014397050000000001,514,1,0.14282633654327884,1.2874086872127766e-4,0.026286966764320165,TRUE
48,514,4.11e-9,0.4934609,z,NA,NA,0,4.11e-9,514,1,7.296356901792234e-7,1.2874086872127766e-4,-0.002581381761033888,FALSE
48,514,4.11e-9,8.35e-6,z,NA,NA,1,4.11e-9,514,1,7.296356901792234e-7,1.2874086872127766e-4,-0.002581381761033888,FALSE
50,99,2.52e-6,0.03207874,t,NA,98,1,2.52e-6,99,1,1.723196607335147e-4,2.9262826760623195e-4,-0.0058363228128026625,FALSE
